energy eV,norm,nbkg,flat,fbkg,nder,nsec
5104.57,0.88613225,0.91586516,0.96467907,0.99441196,-0.00040779927,-0.00070886687
5106.872,0.88234626,0.914711,0.96210458,0.9944693,-0.0022466549,-0.00040455748
5109.182,0.87577067,0.91353646,0.95673426,0.99450002,-0.0022736184,0.00028119167
5111.522,0.87177394,0.91233179,0.95394778,0.99450561,-0.00093911364,0.00045327727
5113.87,0.87136811,0.91110987,0.95474555,0.99448729,-0.00014865451,0.00020918563
5116.253,0.87107065,0.90985824,0.95565859,0.99444616,5.0543602e-05,0.00017150862
5118.639,0.87160915,0.90859543,0.95739796,0.99438421,0.0006692701,0.00029888056
5121.048,0.8742798,0.90731273,0.96126973,0.99430264,0.0014836759,0.0002657469
5123.481,0.87879311,0.90601149,0.96698458,0.99420293,0.0019560166,0.00013523375
5125.929,0.88382712,0.90469851,0.97321583,0.9940872,0.0021437518,0.00011276299
5128.404,0.8893468,0.90336948,0.97993402,0.99395667,0.0025111488,0.00023608649
5130.891,0.89628744,0.90203466,0.98806688,0.99381407,0.003315213,0.00027436279
5133.399,0.90590629,0.90069155,0.99887574,0.99366097,0.0038815909,9.2844087e-05
5135.918,0.9158002,0.89934789,1.0099525,0.99350013,0.0037819402,-0.00012209045
5138.472,0.92509207,0.89799345,1.0204309,0.99333224,0.0032622261,-0.00035965385
5141.031,0.93247996,0.89664678,1.0289948,0.99316163,0.0019430301,-0.0006208788
5143.623,0.93510062,0.89529592,1.0327936,0.99298891,6.4079425e-05,-0.00071558056
5146.219,0.9328124,0.89395882,1.0316722,0.99281857,-0.0017694018,-0.00054408793
5148.843,0.92586434,0.89262606,1.02589,0.99265173,-0.0027760596,-0.0001955568
5151.481,0.91820478,0.89130789,1.019389,0.99249209,-0.0027984217,-1.6204804e-05
5154.143,0.91103271,0.89000253,1.0133722,0.99234197,-0.002861945,-8.5814811e-05
5156.821,0.90292199,0.88871728,1.0064096,0.99220489,-0.0032566728,-0.00010226301
5159.521,0.89351832,0.88745272,0.99814934,0.9920837,-0.0034119155,0.00012388122
5162.243,0.88442259,0.88621233,0.99019183,0.99198154,-0.0025849888,0.00041446527
5164.971,0.87943013,0.88500451,0.98632554,0.99189989,-0.0011530798,0.00039651673
5167.73,0.87809564,0.88381832,0.98611517,0.99183783,-0.00040930151,0.00013324568
5170.501,0.8771667,0.88266213,0.98630022,0.99179563,-0.00041623123,-2.6220113e-05
5173.301,0.87577681,0.88152898,0.98602071,0.99177285,-0.00055537376,-3.1585819e-05
5176.111,0.87405105,0.88042665,0.98539383,0.9917694,-0.00059342768,6.6806069e-05
5178.938,0.87243166,0.87935223,0.98486436,0.9917849,-0.00017878795,0.00020919588
5181.792,0.87303535,0.87830205,0.98655248,0.99181916,0.00059501414,0.00022454052
5184.66,0.87583633,0.87728096,0.99042713,0.99187173,0.0011060329,4.2232786e-05
5187.549,0.87940279,0.87628637,0.99505882,0.99194238,0.00083814829,-0.0001883946
5190.448,0.88068753,0.87532191,0.99739604,0.99203039,1.5604969e-05,-0.00021265606
5193.379,0.87949376,0.87438026,0.99724961,0.99213608,-0.00040163655,-5.4092249e-05
5196.33,0.87832511,0.8734654,0.99711844,0.99225871,-0.00030256564,-4.3062066e-05
5199.291,0.87770499,0.87258019,0.99752216,0.99239733,-0.00065621948,-0.00020264692
5202.268,0.87442848,0.87172249,0.99525769,0.99255168,-0.0015058831,-0.00015155062
5205.28,0.86868626,0.87088685,0.99052174,0.99272231,-0.0015638561,0.0001349676
5208.3,0.8649953,0.87008066,0.98782187,0.9929072,-0.00069175848,0.00026025007
5211.339,0.8644949,0.86930056,0.98830074,0.99310638,1.2999042e-05,0.00010555918
5214.401,0.8650746,0.86854536,0.98984883,0.99331956,-4.7741916e-05,-0.00010740205
5217.482,0.86420162,0.8678158,0.98993168,0.99354584,-0.00064677178,-0.00014814744
5220.58,0.8610782,0.86711202,0.98775061,0.99378441,-0.00096314494,6.596763e-06
5223.691,0.85822145,0.86643449,0.98582124,0.99403425,-0.00060581248,0.00013016898
5226.829,0.85729248,0.8657798,0.98580847,0.99429577,-0.00014971896,7.6099868e-05
5229.98,0.85727987,0.86515051,0.98669644,0.99456706,-0.00012722041,-5.6730329e-06
5233.158,0.8564873,0.86454342,0.98679246,0.99484856,-0.00018562358,2.6810222e-05
5236.35,0.85609745,0.8639606,0.98727518,0.9951383,4.356071e-05,5.8424807e-05
5239.558,0.85676609,0.86340109,0.98880064,0.99543562,0.00018829518,3.4796787e-05
5242.791,0.85731025,0.86286283,0.9901879,0.99574045,0.00026768681,5.4442272e-05
5246.051,0.85850418,0.86234509,0.99221122,0.9960521,0.00054178885,8.6296766e-05
5249.309,0.86084163,0.86185176,0.99535674,0.99636683,0.00083016914,3.07681e-05
5252.599,0.86394013,0.86137696,0.99925012,0.99668693,0.00074325837,-7.661873e-05
5255.911,0.86574863,0.86092166,1.0018374,0.99701041,0.00032433228,-8.6194814e-05
5259.24,0.86609402,0.86048586,1.0029439,0.99733571,0.00017083861,-1.161188e-05
5262.579,0.86688778,0.86006964,1.0044792,0.99766107,0.00024690426,4.8085585e-06
5265.95,0.86775075,0.85966955,1.0060687,0.99798749,0.00020310404,-2.7860391e-05
5269.331,0.86825914,0.85928742,1.0072834,0.99831166,5.8790902e-05,-4.4511627e-05
5272.731,0.86814941,0.85892133,1.0078613,0.99863324,-9.8729308e-05,-3.5861178e-05
5276.16,0.86758491,0.85856942,1.0079674,0.99895191,-0.00018610508,-2.5301821e-05
5279.598,0.86687142,0.85823282,1.0079031,0.99926451,-0.00027247691,-2.8323238e-05
5283.059,0.8657051,0.85790917,1.007367,0.99957102,-0.0003815071,-3.6373608e-05
5286.527,0.86422796,0.85759894,1.0064977,0.99986866,-0.00052450965,-4.2340274e-05
5290.032,0.86204769,0.85729845,1.0049078,1.0001586,-0.00067674583,-1.3521287e-05
5293.548,0.85947653,0.85700893,1.0029047,1.0004371,-0.0006194426,3.559431e-05
5297.088,0.8576769,0.85672817,1.0016526,1.0007038,-0.00042559237,4.9074288e-05
5300.642,0.85645738,0.85645594,1.000958,1.0009565,-0.0002713096,1.7270548e-05
5304.217,0.85574274,0.85619165,1.0007464,1.0011953,-0.00030247064,-2.4112832e-05
5307.812,0.85428866,0.85593588,0.9997729,1.0014201,-0.00044419861,-1.2476851e-05
5311.421,0.85254273,0.85568958,0.99848395,1.0016308,-0.00039235387,3.4450227e-05
5315.049,0.8514492,0.8554529,0.99782408,1.0018278,-0.00019488232,2.7984e-05
5318.701,0.85112399,0.85522608,0.99790934,1.0020114,-0.00018863035,-4.4178886e-06
5322.369,0.85006842,0.85501021,0.99723974,1.0021815,-0.00022722126,1.2545806e-05
5326.061,0.84945164,0.85480537,0.9969848,1.0023385,-9.629322e-05,2.7618041e-05
5329.77,0.84935576,0.85461257,0.99722554,1.0024823,-2.2820138e-05,1.4877429e-05
5333.489,0.84928213,0.8544327,0.99746236,1.0026129,1.4216321e-05,1.0913359e-05
5337.241,0.84946197,0.85426528,0.99792793,1.0027312,5.871357e-05,1.1468711e-05
5340.999,0.84972307,0.85411216,0.99844756,1.0028366,0.00010034634,5.4467159e-06
5344.787,0.85021918,0.85397298,0.99917625,1.00293,9.9814489e-05,-3.4102981e-06
5348.591,0.85048086,0.85384896,0.99964319,1.0030113,7.4455361e-05,1.6031485e-05
5352.411,0.85078683,0.85374071,1.0001267,1.0030806,0.00022203853,3.5483966e-05
5356.249,0.85218123,0.85364884,1.0016707,1.0031383,0.00034619157,8.3192532e-06
5360.111,0.8534525,0.85357393,1.0030634,1.0031848,0.00028609678,-1.7159366e-05
5363.99,0.85439591,0.85351683,1.0040993,1.0032202,0.00021336092,-8.0046724e-06
5367.89,0.85511224,0.85347821,1.0048789,1.0032449,0.00022382843,2.0470571e-06
5371.81,0.85614625,0.85345884,1.0059465,1.0032591,0.0002293689,-1.0249107e-05
5375.741,0.85691301,0.85345946,1.0067167,1.0032631,0.00014336269,-3.0458688e-05
5379.698,0.85727709,0.85348084,1.0070536,1.0032573,-1.088923e-05,-4.2949076e-05
5383.672,0.85682665,0.85352374,1.006545,1.003242,-0.00019726644,-3.7977244e-05
5387.672,0.85570409,0.85358911,1.0053326,1.0032176,-0.00031371977,-8.5215553e-06
5391.679,0.8543147,0.8536774,1.0038218,1.0031845,-0.00026549853,2.2162972e-05
5395.713,0.85356921,0.85378984,1.0029223,1.0031429,-0.00013550731,2.3447982e-05
5399.762,0.85321939,0.85392699,1.0023858,1.0030934,-7.5968491e-05,1.4787069e-05
5403.828,0.85295273,0.85408972,1.0018994,1.0030363,-1.5510251e-05,1.108826e-05
5407.922,0.85309283,0.8542794,1.0017854,1.002972,1.4511708e-05,1.084627e-05
5412.032,0.85307178,0.85449643,1.0014763,1.0029009,7.3472549e-05,2.1290702e-05
5416.149,0.85369728,0.85474111,1.00178,1.0028238,0.00018967032,2.4672709e-05
5420.3,0.85463998,0.85501598,1.0023647,1.0027406,0.00027746651,1.7534349e-05
5424.461,0.85600359,0.85532046,1.0033355,1.0026523,0.00033541582,-5.2603432e-07
5428.652,0.85744137,0.85565701,1.0043433,1.0025589,0.00027307307,-2.1588096e-05
5432.848,0.85829385,0.85602455,1.0047308,1.0024615,0.00015435646,-2.4305611e-05
5437.07,0.85874074,0.85642584,1.004675,1.0023601,6.8468431e-05,-1.3240974e-05
5441.311,0.8588733,0.85686132,1.0042675,1.0022555,4.2298095e-05,3.7121507e-06
5445.57,0.85910028,0.85733188,1.0039166,1.0021482,0.00010002171,8.9481822e-06
5449.847,0.85972708,0.85783856,1.0039273,1.0020387,0.00011867978,7.9311202e-07
5454.15,0.86011855,0.85838345,1.0036627,1.0019276,0.00010682661,4.3890178e-06
5458.472,0.86064846,0.85896683,1.0034972,1.0018155,0.00015653506,3.3325932e-06
5462.801,0.86147273,0.85958802,1.0035882,1.0017034,0.00013565688,-1.2000594e-05
5467.155,0.86182637,0.86025067,1.0031672,1.0015915,5.2333903e-05,-1.6926425e-05
